Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Business, Innovation and Skills",BIS,Companies House,,Company reports (data),,,,,,,183329,183329,,71161,71161,,74080,74080,,72135,72135,,72135,72135,,Providing information,http://www.companieshouse.gov.uk/,"Information relating to the company including its registered number, its date of incorporation, its name, and the number of registered charges, also includes any previous name changes and the dates of documents filed eg Annual Return.",,,,
"Department for Business, Innovation and Skills",BIS,Companies House,,Director and mortgage detail searches,2723489,2723489,1.00,2127754,2127754,1.00,1873478,1873478,1.00,71169,71169,,222847,222847,,223022,223022,,223022,223022,,Requesting information,http://www.companieshouse.gov.uk/,Provision of director information and charge information via web-based search services.,,Current appointments non-chargeable from October 2012,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Companies House,,Dissolution (filing transactions),290000,,,149803,,,156129,,,153348,0,,158901,0,,167668,0,,167668,0,,Providing information,http://www.companieshouse.gov.uk/,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Companies House,,Document Packages,138000,,,172097,,,164634,,,125559,125559,,125041,125041,,125304,125304,,125304,125304,,Providing information,http://www.companieshouse.gov.uk/,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Companies House,,Incorporations (filing transactions),455649,,,455649,437441,,482795,470800,,463867,454010,,485333,475613,,500205,490522,,500205,490522,,Providing information,https://www.gov.uk/register-a-company-online,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Companies House,,Insolvency (filing transactions),,,,,,,155567,,,147753,0,,149840,0,,152261,0,,152261,0,,,,,,,Business,
"Department for Business, Innovation and Skills",BIS,Companies House,,Mortgage (filing transactions),181000,,,180510,,,181041,,,245338,8679,,189622,24100,,196839,39483,,196839,39483,,Providing information,http://www.companieshouse.gov.uk/,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,"Department for Business, Innovation and Skills",BIS,Export Control Organisation SPIRE electronic licensing system,20000,,,15500,,,16566,,,18427,18427,,18639,18639,,30966,18540,,30966,18540,,Requesting a licence or consent,https://www.spire.bis.gov.uk/eng/fox/espire/LOGIN/login,Export licence applications,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,"Department for Business, Innovation and Skills",BIS,Graduate Talent Pool: graduate and employer registrations,,,,23326,,,18288,,,16510,,,14817,,,24916,,,24916,,,Registering,http://graduatetalentpool.direct.gov.uk/,,,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,"Department for Business, Innovation and Skills",BIS,Graduate Talent Pool: internship vacancies posted by employers,,,,6892,,,6947,,,7691,,,8408,,,7174,,,7174,,,Providing information,http://graduatetalentpool.direct.gov.uk/,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,"Department for Business, Innovation and Skills",BIS,Queen's Awards online account registrations,2517,2517,,1924,1924,,1902,1902,,1231,1231,,2105,2105,,2092,2092,,2092,2092,,Registering,,Online registrations for the Queen's Awards for Enterprise 2013 and 2014,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,"Department for Business, Innovation and Skills",BIS,Queen's Awards online application/ nomination submissions,921,921,,645,,,645,645,,647,647,,842,842,,842,842,,842,842,,Providing information,https://www.gov.uk/queens-awards-for-enterprise/business-awards,Online applications and nominations for the Queen's Awards for Enterprise 2013 and 2014,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Export Credits Guarantee Department,ECGD,Provision of export credit guarantees and insurance policies - cases where support given (covering 302 guarantees or insurance policies),72,,,129,,,138,,,368,,,346,0,,426,,,426,,,Providing information,,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Export Credits Guarantee Department,ECGD,Provision of export credit guarantees and insurance policies - enquiries,743,,,775,,,1000,,,475,,,340,0,,262,,,262,,,Requesting information,,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Higher Education Funding Council for England,HEFCE,E-tenders for HEFCE procurements,60,,,45,,,32,,,32,32,,35,35,,33,,,33,,,Providing information,,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Higher Education Funding Council for England,HEFCE,Event booking forms for HEFCE events,750,,,950,,,950,,,1182,1182,,1505,1505,,1274,,,1274,,,Booking events and resources,http://www.hefce.ac.uk/news/events/,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Higher Education Funding Council for England,HEFCE,HE Data submissions and returns,9700,,,16478,,,17820,,,17623,17623,,17654,17654,,17530,,,17530,,,Providing information,,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Allegations of misconduct from Insolvency Practitioners: reports received,,,,,,,,,,,,,4901,0,,4749,,,4749,,,,,,,,,
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Application for release,3000,,,2919,,,,,,63508,0,,56958,0,,55733,,,55733,,,Requesting a licence or consent,http://www.bis.gov.uk/insolvency,The official receiver may apply for release as liquidator/trustee when the administration of the estate is complete. On release the official receiver is discharged from all liability in the administration of the estate. The official receiver must send notice of intention to apply to the Secretary of State for release to the bankrupt and all known creditors. Recipients have 21 days in which to object.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Criminal referrals to relevant prosecuting authorities,216,,,187,,,,,,24,0,,576,,,614,,,614,,,Providing information,http://www.bis.gov.uk/insolvency,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Debt Relief Order,30118,,,29305,,,,,,29677,29677,80.00,29048,29048,,27653,27653,90.00,27653,27653,90.00,Requesting a licence or consent,http://www.bis.gov.uk/insolvency,Individual citizens apply via an intermediary to manage their debt using a Debt Relief Order (DRO). Applications must be by the intermediary (eg Citizens Advice Bureaux) who authorises it.,,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Deposit Unclaimed Money CAU103 and CAU104,720,,,720,,,,,,16965,0,,1544,,,1208,,,1208,,,Providing information,http://www.bis.gov.uk/insolvency,"The service relates to unclaimed monies on voluntary and administration cases. The forms CAU 103 (Vol) / CAU 104 (Admin) are received from Insolvency Practitioners six months after they make a distribution to creditors. Where creditors haven't cashed the cheques, the forms and the money are held by INSS until creditors approach it directly.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Disclosure requests,660,,,660,,,,,,236,0,,255,,,265,,,265,,,Providing information,http://www.bis.gov.uk/insolvency,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Estate Handover Official Receiver to Insolvency Practitioner,2971,,,2891,,,,,,4068,0,,3875,,,3930,,,3930,,,Requesting a licence or consent,http://www.bis.gov.uk/insolvency,"On the appointment of an insolvency practitioner (IP) as trustee, the official receiver will obtain release as trustee. The receiver should ensure that the IP is supplied with proper, complete and accurate information regarding the insolvent's estate, including all cases papers and notes to enable the realisations to be completed.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Final returns from Insolvency Practitioners with no allegations of misconduct,,,,,,,,,,,,,10924,0,,10678,,,10678,,,,,,,,,
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Income Payments Agreements (IPA)/ Income Payment Orders (IPO),5000,,,4588,,,,,,6724,0,,5361,,,4804,,,4804,,,Providing information,http://www.bis.gov.uk/insolvency,"IPAs are agreements between the bankrupt and the official receiver or trustee. The bankrupt agrees to pay a portion of income into the estate, where it will be treated as an asset. Where an IPA cannot be agreed the trustee may decide to seek an IPO instead.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Initial contacts about a complaint or grievance,,,,,,,,,,,,,1766,0,,3990,,,3990,,,,,"A combination of complaints received about live companies (ones which are not subject to insolvency procedings) and complaints received through the ""Enforcement Hotline"" about insolvent companies or disqualified directors/bankrupts acting as a director whilst disqualified.",,,,
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Interim returns from Insolvency Practitioners,,,,,,,,,,,,,640,0,,641,,,641,,,,,,,,Business,
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Issue report to creditors (report listing assets and liabilities),403921,,,393015,,,,,,336204,0,,30434,,,28876,,,28876,,,Providing information,http://www.bis.gov.uk/insolvency,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Orders made on Creditor Bankruptcy Petition (CP6),7000,,,7448,,,,,,5715,0,,5581,,,5368,,,5368,,,Providing information,http://www.bis.gov.uk/insolvency,A creditor bankruptcy petition is presented to court after an unsuccessful statutory demand for payment of a debt by one or more creditor (or a creditor's solicitor).,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Orders made on Creditor’s Winding-up Petition (CP4),5000,,,5320,,,,,,4005,0,,3888,,,3733,,,3733,,,Providing information,http://www.bis.gov.uk/insolvency,A creditors' winding up petition is presented to Court after the unsuccessful service of a statutory demand on an limited company or partnership. The peitition is for payment of a debt by one or more creditors or a creditor's solicitor.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,"Payment requests (CAU101, CAU105 and CAU109) received",54000,,,52542,,,,,,50478,0,,36764,,,34673,,,34673,,,"Requesting benefits, payments or loans",http://www.bis.gov.uk/insolvency/insolvency-profession/ISA-information/payment-forms,"CAU 101,105 and 109 are payment requests received from Insolvency Practitioners on bankruptcy and liquidation cases. CAU 101 and 109 are for cheques, and CAU 105 is a BACS request.",,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Petition for Bankruptcy and  Statement of Affairs in a Debtor’s Petition,23000,,,22379,,,,,,21990,0,,20490,,,19183,,,19183,,,Providing information,http://www.bis.gov.uk/insolvency,Bankruptcy orders are made as a result of a petition being made to the court. A petition may not be withdrawn without leave of the court. The court has the power to dismiss a petition or to stay the proceedings for any reason.,,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Preliminary Information Questionnaire for Bankrupts (creditor petitions) and company officers -PIQB and PIQC,14000,,,13622,,,,,,9725,0,,9469,,,9001,,,9001,,,Providing information,http://www.bis.gov.uk/insolvency,"In a bankruptcy case, a preliminary information questionnaire (PIQB or PIQC) must be sent by the official receiver to the interviewee prior to an interview.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Proof of debt,87301,,,80106,,,,,,109250,0,,643,,,647,,,647,,,Providing information,http://www.bis.gov.uk/insolvency,"A creditor wishing to be repaid money owed to them must submit a claim in writing to the liquidator, official receiver or trustee. This is known as ‘proving’ for the Creditor's debt and the document by which the Creditor seeks to establish the claim is the ‘proof’. ",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Redundancy payments: claims (consolidated),,,,,,,,,,,,,93890,0,31.00,84882,,33.00,84882,,33.00,,,This service is provided by the Insolvency Service to support and process individual claims for statutory redundancy pay by employees of insolvent firms. It replaces a number of services which were previously listed separately.,,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Register and update Individual Voluntary Arrangements (IVA) - agreement between a debtor and creditors,63312,,,46674,,,,,,45910,0,,47606,,,49971,,,49971,,,Registering,http://www.bis.gov.uk/insolvency,,,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Searches to support FIN-NET and SIS referrals,1920,,,1868,,,,,,631,0,,719,,,559,,,559,,,Requesting information,http://www.bis.gov.uk/insolvency,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Submit proxy vote,5802,,,5645,,,,,,16512,0,,0,,,795,,,795,,,Providing information,http://www.bis.gov.uk/insolvency,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Tax and National Insurance Disclosure (TNIDIS): forms issued,30000,,,29190,,,,,,31710,0,,26071,,,24571,,,24571,,,Requesting a licence or consent,http://www.bis.gov.uk/insolvency,The official receiver must request that all bankrupts sign the tax and national insurance disclosure form (TNIDIS). This authorises the payment to the official receiver (or trustee) any applicable income tax refunds. The data provided relates to the number of forms issued.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Insolvency Service,INSS,Update Insolvency Practitioner Details,1700,,,1700,,,,,,666,0,,,,,722,,,722,,,Providing information,http://www.bis.gov.uk/insolvency,,,The volumes represent the number of updates per IP but not the volume of transactional updates. One IP update can represent thousands of transactional amendments,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Add extra classes to an existing application (TM3A),152,,,152,,,1461,,,1406,,,1289,0,,1239,0,,1239,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Alter a registered mark (TM25),59,,,59,,,31,,,26,,,17,0,,10,0,,10,0,,Amending/deleting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application by the proprietor of a patent for an entry to be made in the register that licences under the patent are available as of right (F28),1061,,,1061,,,2097,,,2259,,,2342,0,,1962,0,,1962,0,,Providing information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application by the proprietor of a patent to cancel an entry in the register that licences under the patent are available as of right (F30),36,,,36,,,,,,0,,,0,0,,0,0,,0,0,,Amending/deleting information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application fee for a patent application (AF1),1690,,,1690,,,1688,,,1729,,,1647,0,,1522,0,,1522,0,,Making a payment,http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,"Application for declaration of lapse or invalidity, or to revoke an extension of the duration of a Supplementary Protection Certificate (SP3)",0,,,0,,,,,,0,,,0,0,,0,0,,0,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application for European patent (EP1001E),1582,157,,1582,,,,,,150,,,161,,,234,,,234,,,Requesting a licence or consent,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application for Extension to a Supplementary Protection Certificate (SP4),4,,,4,,,7,,,6,,,5,0,,3,0,,3,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application for international patent (PCTRO101),4400,2420,,4400,,,5574,,,4136,,,3995,2547,,3997,3436,,3997,3436,,Requesting a licence or consent,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application of grant of a Supplementary Protection Certificate (SP1),62,,,62,,,69,,,68,,,80,0,,79,0,,79,0,,Requesting a licence or consent,http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to amend the regulations governing the use of a certification or collective mark (TM36),5,,,5,,,5,,,5,,,9,0,,9,0,,9,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to declare invalid a registration or a protected international TM (TM26l),141,,,141,,,163,,,137,,,134,0,,147,0,,147,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to intervene in proceedings (TM27),0,,,0,,,,,,0,,,0,0,,0,0,,0,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,"Application to record or cancel a registrable transaction other than assignment or licence, or to cancel a notifiable transcation under the Madrid Protocol (TM24)",400,,,400,,,367,,,381,,,392,0,,300,0,,300,0,,Amending/deleting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to rectify the register (TM26R),10,,,10,,,25,,,84,,,175,0,,253,0,,253,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to register a licensee (TM50),183,,,183,,,220,,,237,,,246,0,,339,0,,339,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to register one or more designs (DF2A),4662,,,4662,,,2439,,,2614,,,2539,0,,2530,0,,2530,0,,Registering,http://www.ipo.gov.uk/pro-types/pro-design/pro-d-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to register or give notice of rights acquired in a patent or in an application form (F21),3593,,,3593,,,3336,,,3413,,,3453,0,,3379,0,,3379,0,,Registering,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to remove or amend the recordal of a licence (TM51),105,,,105,,,34,,,34,,,44,0,,31,0,,31,0,,Requesting a licence or consent,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to request a change of ownership (TM16),4121,,,4121,,,3696,,,3740,,,3802,0,,3778,0,,3778,0,,Amending/deleting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to restore a patent (F16),228,,,228,,,185,,,175,,,186,0,,189,0,,189,0,,Amending/deleting information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to revoke a registration or a protected international TM for reasons of non-use (TM26N),136,,,136,,,125,,,125,,,121,0,,135,0,,135,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to revoke a registration or a protected international TM for reasons other than non-use (TM26O),11,,,11,,,4,,,3,,,3,0,,2,0,,2,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Application to set aside cancellation of application or revocation or invalidation of registration (TM29),0,,,0,,,,,,0,,,0,0,,0,0,,0,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Appointment for change of agent or contact address (legal proceedings only) (TM33P),60,,,60,,,0,,,0,,,22,0,,33,0,,33,0,,Amending/deleting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Appointment for change of agent or contact address (TM33),4810,,,4810,,,,,,4197,,,4202,0,,4437,0,,4437,0,,Amending/deleting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Appointment or change of agent (F51),48591,,,44320,0,,,,,1565,,,1554,0,,1825,0,,1825,0,,Providing information,,Appointment or change of agent to be authorised to act in all or part of matters relating to the application of a patent or granted patent.,This cost is not tracked as represents a non fee bearing form,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,"Change of proprietor's name or address, or other change to app (TM21)",5550,,,5550,,,5274,,,5736,,,5932,0,,6030,0,,6030,0,,Amending/deleting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Continuation of proceedings before the Comptroller (F4),12,,,12,,,10,,,13,,,14,0,,13,0,,13,0,,Providing information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Filing a translation in connection with a European patent or a European patent application (F54),55,,,55,,,0,,,0,,,0,0,,0,0,,0,0,,Providing information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Filing of regulations governing the use of certification or collective marks (TM35),28,,,28,,,47,,,50,,,51,0,,62,0,,62,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Grant of patent requests (F1),22353,14025,,21042,15775,133.00,21229,17422,133.00,20645,,133.00,20389,12376,133.00,20112,16769,133.00,20112,16769,133.00,Requesting a licence or consent,https://www.gov.uk/apply-for-a-patent,"An application to apply for an intellectual property right, granted by a country's government for a limited period. A granted patent right makes it illegal for anyone except the owner or someone with the owner's permission to make, use, import or sell the invention in the country where the patent was granted.",These costs are based on our fee charges data produced for 10/11 and exclude policy cost,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Initial of proceeding before the Comptroller (F2),46,,,46,,,43,,,43,,,40,0,,43,0,,43,0,,,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Late additions and declarations of priority (F3),43,,,43,,,67,,,68,,,75,0,,73,0,,73,0,,,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,National processing of an international application for a patent (NP1),3514,1331,,3514,,,2190,,,2269,,,2303,1595,,2377,2144,,2377,2144,,Requesting a licence or consent,http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm,,,,Business,Fees and charges
